ECG,62406,-45999,
PPG,62415,104753,107887
ECG,62416,-44183,
ECG,62423,-46072,
PPG,62426,104752,107910
GSR,62428,477,
ECG,62430,-42795,
PPG,62435,104780,107934
ECG,62438,-45732,
PPG,62445,104772,107953
ECG,62446,-43126,
PPG,62455,104805,107964
ECG,62456,-45367,
ECG,62462,-43230,
PPG,62467,104805,108009
ECG,62470,-45432,
PPG,62475,104809,108035
ECG,62478,-42185,
GSR,62483,477,
PPG,62486,104810,108046
ECG,62487,-44094,
PPG,62495,104835,108084
ECG,62496,-43568,
ECG,62502,-45967,
PPG,62505,104846,108097
ECG,62511,-45419,
PPG,62516,104848,108123
ECG,62519,-46644,
PPG,62526,104853,108143
ECG,62527,-45832,
ECG,62534,-45770,
PPG,62537,104857,108154
GSR,62539,477,
ECG,62542,-45651,
PPG,62545,104874,108172
ECG,62550,-44979,
PPG,62555,104889,108178
ECG,62558,-45646,
PPG,62565,104881,108212
ECG,62566,-44932,
PPG,62575,104885,108202
ECG,62576,-44994,
ECG,62582,-40937,
PPG,62585,104897,108228
ECG,62590,-36203,
PPG,62596,104893,108244
GSR,62598,477,
ECG,62599,-30954,
PPG,62606,104899,108266
ECG,62607,-38682,
ECG,62614,-42302,
PPG,62617,104905,108283
ECG,62622,-55427,
PPG,62625,104893,108277
ECG,62629,-62077,
PPG,62636,104921,108282
ECG,62638,-60468,
PPG,62645,104938,108317
ECG,62646,-52228,
PPG,62655,104929,108327
GSR,62656,477,
ECG,62657,-48849,
ECG,62662,-43365,
PPG,62665,104930,108329
ECG,62670,-45497,
PPG,62675,104942,108343
ECG,62678,-43302,
PPG,62686,104928,108361
ECG,62687,-44000,
ECG,62694,-42070,
PPG,62697,104948,108372
ECG,62702,-43069,
PPG,62705,104938,108392
ECG,62710,-41720,
GSR,62712,478,
PPG,62716,104961,108389
ECG,62717,-42077,
PPG,62726,104985,108418
ECG,62727,-41507,
ECG,62734,-41662,
PPG,62738,104968,108438
ECG,62741,-40295,
PPG,62746,104972,108451
ECG,62749,-39593,
PPG,62755,104987,108467
ECG,62757,-40584,
PPG,62766,104979,108473
GSR,62767,478,
ECG,62768,-38914,
ECG,62774,-39681,
PPG,62777,104989,108497
ECG,62782,-37537,
PPG,62786,104995,108523
ECG,62790,-38345,
PPG,62796,105001,108502
ECG,62798,-34777,
PPG,62806,104983,108513
ECG,62808,-36174,
ECG,62814,-32276,
PPG,62817,104971,108450
ECG,62821,-34172,
GSR,62824,478,
PPG,62826,104913,108356
ECG,62829,-30402,
PPG,62836,104868,108233
ECG,62837,-31156,
PPG,62846,104826,108104
ECG,62848,-27552,
ECG,62854,-29547,
PPG,62857,104760,107967
ECG,62862,-27401,
PPG,62866,104712,107847
ECG,62870,-30364,
PPG,62876,104687,107728
ECG,62877,-30171,
GSR,62879,478,
PPG,62885,104637,107655
ECG,62886,-34457,
ECG,62894,-35011,
PPG,62898,104612,107584
ECG,62901,-38859,
PPG,62907,104595,107544
ECG,62909,-40064,
PPG,62916,104588,107510
ECG,62917,-41682,
PPG,62926,104572,107513
ECG,62927,-42814,
ECG,62934,-43941,
PPG,62938,104582,107508
GSR,62939,478,
ECG,62942,-44307,
PPG,62946,104575,107511
ECG,62950,-43405,
PPG,62956,104577,107522
ECG,62958,-44755,
ECG,62965,-43662,
PPG,62968,104599,107532
ECG,62973,-44544,
PPG,62977,104603,107555
ECG,62982,-43212,
PPG,62987,104622,107577
ECG,62990,-45526,
GSR,62994,478,
PPG,62996,104594,107599
ECG,62997,-43157,
PPG,63006,104602,107616
ECG,63007,-44994,
ECG,63013,-42949,
PPG,63016,104619,107621
ECG,63022,-45076,
PPG,63027,104635,107631
ECG,63029,-42526,
PPG,63037,104613,107667
ECG,63038,-45895,
ECG,63045,-43312,
PPG,63048,104614,107655
GSR,63049,478,
ECG,63053,-44996,
PPG,63056,104628,107666
ECG,63060,-43011,
PPG,63067,104661,107673
ECG,63069,-45327,
PPG,63076,104657,107703
ECG,63077,-43328,
PPG,63086,104659,107726
ECG,63087,-44960,
